1	136
1	235
1	465
1	567
1	609
1	738
1	859
1	860
1	954
1	991
2	87
2	747
2	892
2	903
2	964
2	979
2	987
2	991
2	993
2	999
3	77
3	352
3	700
3	782
3	820
3	856
3	871
3	905
3	968
3	996
4	230
4	258
4	471
4	505
4	588
4	662
4	791
4	905
4	912
4	996
5	144
5	676
5	753
5	792
5	838
5	842
5	909
5	923
5	932
5	961
6	115
6	506
6	679
6	720
6	817
6	820
6	839
6	844
6	946
6	994
7	88
7	166
7	532
7	539
7	647
7	728
7	886
7	916
7	953
7	1000
8	216
8	292
8	677
8	759
8	880
8	882
8	951
8	970
8	983
8	994
9	324
9	325
9	361
9	526
9	552
9	713
9	728
9	744
9	886
9	953
10	355
10	471
10	480
10	591
10	824
10	922
10	928
10	956
10	968
10	996
11	590
11	776
11	781
11	817
11	834
11	922
11	937
11	941
11	955
11	956
12	125
12	205
12	540
12	628
12	644
12	697
12	856
12	871
12	928
12	996
13	289
13	317
13	455
13	535
13	664
13	861
13	899
13	943
13	947
13	980
14	99
14	155
14	387
14	636
14	710
14	712
14	882
14	979
14	983
14	994
15	140
15	321
15	345
15	563
15	751
15	802
15	811
15	832
15	907
15	948
16	113
16	625
16	632
16	713
16	728
16	793
16	826
16	880
16	916
16	977
17	333
17	336
17	485
17	586
17	604
17	786
17	837
17	851
17	867
17	893
18	342
18	406
18	755
18	778
18	829
18	869
18	870
18	959
18	986
18	995
19	182
19	280
19	743
19	765
19	785
19	790
19	804
19	805
19	841
19	988
20	673
20	727
20	747
20	788
20	810
20	845
20	924
20	934
20	945
20	975
21	80
21	170
21	465
21	696
21	738
21	788
21	898
21	942
21	967
21	990
22	213
22	354
22	437
22	618
22	721
22	751
22	832
22	840
22	930
22	948
23	548
23	569
23	576
23	599
23	771
23	792
23	887
23	943
23	944
23	975
24	178
24	371
24	603
24	723
24	751
24	802
24	878
24	907
24	930
24	948
25	501
25	726
25	759
25	864
25	892
25	932
25	938
25	987
25	991
25	999
26	67
26	310
26	545
26	551
26	557
26	847
26	890
26	986
26	995
26	998
27	363
27	519
27	524
27	661
27	730
27	732
27	911
27	931
27	984
27	990
28	69
28	74
28	223
28	623
28	708
28	727
28	811
28	845
