degree distribution (probability density function of the degree in logarithmic bins) 
12	0.1937
13	0.208724
14	0.0680268
15	0.0956129
16	0.059727
17	0.0769517
18	0.0393299
19.3846	0.0798472
21	0.0633074
22.4375	0.0862834

degree distribution (degree-occurrences) 
12	0.15625
13	0.179688
14	0.0625
15	0.09375
16	0.0625
17	0.0859375
18	0.046875
19	0.0625
20	0.0390625
21	0.0859375
22	0.0703125
23	0.0546875


--------------------------------------
community distribution (size-occurrences)
32	1


--------------------------------------
mixing parameter
0.416667	0.0546875
0.428571	0.046875
0.437112	0.0546875
0.444444	0.015625
0.45	0.0234375
0.454545	0.046875
0.463403	0.257812
0.471892	0.148438
0.477078	0.109375
0.5	0.21875
0.538462	0.015625
0.5625	0.0078125

--------------------------------------
